unique_id,accession_id,seq_name,organism,org_abv,country,loc_abv,type,continent,db
_131,NC_001566.1,AmLi_AUS_N_131 #N:NC_001566.1,Apis mellifera ligustica,AmLi,Australia,AUS,N,Middle,N
_132,MN714160.1,AmCu_EUA_N_132 #N:MN714160.1,Apis mellifera caucasica,AmCu,Europe Asia,EUA,N,Middle,N
_133,KJ601784.1,AmSc_MEX_N_133 #N:KJ601784.1,Apis mellifera scutellata,AmSc,Mexico,MEX,N,Middle,N
_134,MN714161.1,AmJe_ARA_N_134 #N:MN714161.1,Apis mellifera jemenitica,AmJe,Arabia,ARA,N,Asia,N
_135,KY614238.1,AmSc_ASI_N_135 #N:KY614238.1,Apis mellifera scutellata,AmSc,Asia,ASI,N,Asia,N
_136,MN733955.1,AmSn_CHN_N_136 #N:MN733955.1,Apis mellifera sinisxinyuan,AmSn,China,CHN,N,Asia,N
_137,OM203249.1,AmLi_CHN_N_137 #N:OM203249.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_138,OM203250.1,AmLi_CHN_N_138 #N:OM203250.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_139,OM203251.1,AmLi_CHN_N_139 #N:OM203251.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_140,OM203252.1,AmLi_CHN_N_140 #N:OM203252.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_141,OM203253.1,AmLi_CHN_N_141 #N:OM203253.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_142,OM203254.1,AmLi_CHN_N_142 #N:OM203254.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_143,OM203255.1,AmLi_CHN_N_143 #N:OM203255.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_144,OM203256.1,AmLi_CHN_N_144 #N:OM203256.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_145,OM203257.1,AmLi_CHN_N_145 #N:OM203257.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_146,OM203258.1,AmLi_CHN_N_146 #N:OM203258.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_147,OM203259.1,AmLi_CHN_N_147 #N:OM203259.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_148,OM203260.1,AmLi_CHN_N_148 #N:OM203260.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_149,OM203261.1,AmLi_CHN_N_149 #N:OM203261.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_150,OM203262.1,AmLi_CHN_N_150 #N:OM203262.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_151,OM203263.1,AmLi_CHN_N_151 #N:OM203263.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_152,OM203264.1,AmLi_CHN_N_152 #N:OM203264.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_153,OM203265.1,AmLi_CHN_N_153 #N:OM203265.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_154,OM203266.1,AmLi_CHN_N_154 #N:OM203266.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_155,OM203267.1,AmLi_CHN_N_155 #N:OM203267.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_156,OM203268.1,AmLi_CHN_N_156 #N:OM203268.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_157,OM203269.1,AmLi_CHN_N_157 #N:OM203269.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_158,OM203270.1,AmLi_CHN_N_158 #N:OM203270.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_159,OM203271.1,AmLi_CHN_N_159 #N:OM203271.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_160,OM203272.1,AmLi_CHN_N_160 #N:OM203272.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_161,OM203273.1,AmLi_CHN_N_161 #N:OM203273.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_162,OM203274.1,AmLi_CHN_N_162 #N:OM203274.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_163,OM203275.1,AmLi_CHN_N_163 #N:OM203275.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_164,OM203276.1,AmLi_CHN_N_164 #N:OM203276.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_165,OM203277.1,AmLi_CHN_N_165 #N:OM203277.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_166,OM203278.1,AmLi_CHN_N_166 #N:OM203278.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_167,OM203279.1,AmLi_CHN_N_167 #N:OM203279.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_168,OM203280.1,AmLi_CHN_N_168 #N:OM203280.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_169,OM203281.1,AmLi_CHN_N_169 #N:OM203281.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_170,OM203282.1,AmLi_CHN_N_170 #N:OM203282.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_171,OM203283.1,AmLi_CHN_N_171 #N:OM203283.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_172,OM203284.1,AmLi_CHN_N_172 #N:OM203284.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_173,OM203285.1,AmLi_CHN_N_173 #N:OM203285.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_174,OM203286.1,AmLi_CHN_N_174 #N:OM203286.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_175,OM203287.1,AmLi_CHN_N_175 #N:OM203287.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_176,OM203288.1,AmLi_CHN_N_176 #N:OM203288.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_177,OM203289.1,AmLi_CHN_N_177 #N:OM203289.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_178,OM203290.1,AmLi_CHN_N_178 #N:OM203290.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_179,OM203291.1,AmLi_CHN_N_179 #N:OM203291.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_180,OM203292.1,AmLi_CHN_N_180 #N:OM203292.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_181,OM203293.1,AmLi_CHN_N_181 #N:OM203293.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_182,OM203294.1,AmLi_CHN_N_182 #N:OM203294.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_183,OM203295.1,AmLi_CHN_N_183 #N:OM203295.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_184,OM203296.1,AmLi_CHN_N_184 #N:OM203296.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_185,OM203297.1,AmLi_CHN_N_185 #N:OM203297.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_186,OM203298.1,AmLi_CHN_N_186 #N:OM203298.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_187,OM203299.1,AmLi_CHN_N_187 #N:OM203299.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_188,OM203300.1,AmLi_CHN_N_188 #N:OM203300.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_189,OM203301.1,AmLi_CHN_N_189 #N:OM203301.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_190,OM203302.1,AmLi_CHN_N_190 #N:OM203302.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_191,OM203303.1,AmLi_CHN_N_191 #N:OM203303.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_192,OM203304.1,AmLi_CHN_N_192 #N:OM203304.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_193,OM203305.1,AmLi_CHN_N_193 #N:OM203305.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_194,OM203306.1,AmLi_CHN_N_194 #N:OM203306.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_195,OM203307.1,AmLi_CHN_N_195 #N:OM203307.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_196,OM203308.1,AmLi_CHN_N_196 #N:OM203308.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_197,OM203309.1,AmLi_CHN_N_197 #N:OM203309.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
